state,county,population
Arkansas,Cleveland,7956
Arkansas,Columbia,23457
Arkansas,Conway,20846
Arkansas,Craighead,110332
Arkansas,Crawford,63257
Arkansas,Crittenden,47955
Arkansas,Cross,16419
Arkansas,Dallas,7009
Arkansas,Desha,11361
Arkansas,Drew,18219
Arkansas,Faulkner,126007
Arkansas,Franklin,17715
Arkansas,Fulton,12477
Arkansas,Garland,99386
Arkansas,Grant,18265
Arkansas,Greene,45325
Arkansas,Hempstead,21532
Arkansas,Hot Spring,33771
Arkansas,Howard,13202
Arkansas,Independence,37825
Arkansas,Izard,13629
Arkansas,Jackson,16719
Arkansas,Jefferson,66824
Arkansas,Johnson,26578
Arkansas,Lafayette,6624
Arkansas,Lawrence,16406
Arkansas,Lee,8857
Arkansas,Lincoln,13024
Arkansas,Logan,21466
Arkansas,Lonoke,73309
Arkansas,Madison,16576
Arkansas,Marion,16694
Arkansas,Miller,43257
Arkansas,Mississippi,40651
Arkansas,Monroe,6701
Arkansas,Montgomery,8986
Arkansas,Nevada,8252
Arkansas,Newton,7753
Arkansas,Ouachita,23382
Arkansas,Perry,10455
Arkansas,Phillips,17782
Arkansas,Pike,10718
Arkansas,Poinsett,23528
Arkansas,Polk,19964
Arkansas,Pope,64072
Arkansas,Prairie,8062
Arkansas,Pulaski,391911
Arkansas,Randolph,17958
Arkansas,St. Francis,24994
Arkansas,Saline,122437
Arkansas,Scott,10281
Arkansas,Searcy,7881
Arkansas,Sebastian,127827
Arkansas,Sevier,17007
Arkansas,Sharp,17442
Arkansas,Stone,12506
Arkansas,Union,38682
Arkansas,Van Buren,16545
Arkansas,Washington,239187
Arkansas,White,78753
Arkansas,Woodruff,6320
Arkansas,Yell,21341
California,Alameda,1671329
California,Alpine,1129
California,Amador,39752
California,Butte,219186
California,Calaveras,45905
California,Colusa,21547
California,Contra Costa,1153526
California,Del Norte,27812
California,El Dorado,192843
California,Fresno,999101
California,Glenn,28393
California,Humboldt,135558
California,Imperial,181215
California,Inyo,18039
California,Kern,900202
California,Kings,152940
California,Lake,64386
California,Los Angeles,10039107
California,Madera,157327
California,Marin,258826
California,Mariposa,17203
California,Mendocino,86749
California,Merced,277680
California,Mono,14444
California,Monterey,434061
California,Napa,137744
California,Nevada,99755
California,Orange,3175692
California,Placer,398329
California,Plumas,18807
California,Riverside,2470546
California,Sacramento,1552058
California,San Benito,62808
California,San Bernardino,2180085
California,San Diego,3338330
California,San Francisco,881549
California,San Joaquin,762148
California,San Luis Obispo,283111
California,San Mateo,766573
California,Santa Barbara,446499
California,Santa Clara,1927852
California,Santa Cruz,273213
California,Shasta,180080
California,Siskiyou,43539
California,Solano,447643
California,Sonoma,494336
California,Stanislaus,550660
California,Sutter,96971
California,Tehama,65084
California,Tulare,466195
California,Tuolumne,54478
California,Ventura,846006
California,Yolo,220500
California,Yuba,78668
Colorado,Adams,517421
Colorado,Alamosa,16233
Colorado,Arapahoe,656590
Colorado,Archuleta,14029
Colorado,Baca,3581
Colorado,Boulder,326196
Colorado,Broomfield,70465
Colorado,Chaffee,20356
Colorado,Clear Creek,9700
Colorado,Costilla,3887
Colorado,Crowley,6061
Colorado,Custer,5068
Colorado,Delta,31162
Colorado,Denver,727211
Colorado,Douglas,351154
Colorado,Eagle,55127
Colorado,Elbert,26729
Colorado,El Paso,720403
Colorado,Fremont,47839
Colorado,Garfield,60061
Colorado,Gilpin,6243
Colorado,Grand,15734
Colorado,Gunnison,17462
Colorado,Hinsdale,820
Colorado,Huerfano,6897
Colorado,Jefferson,582881
Colorado,Kit Carson,7097
Colorado,Lake,8127
Colorado,La Plata,56221
Colorado,Larimer,356899
Colorado,Las Animas,14506
Colorado,Lincoln,5701
Colorado,Logan,22409
Colorado,Mesa,154210
Colorado,Mineral,769
Colorado,Moffat,13283
Colorado,Montezuma,26183
Colorado,Montrose,42758
Colorado,Morgan,29068
Colorado,Otero,18278
Colorado,Ouray,4952
Colorado,Park,18845
Colorado,Phillips,4265
Colorado,Pitkin,17767
Colorado,Prowers,12172
Colorado,Pueblo,168424
Colorado,Rio Blanco,6324
Colorado,Rio Grande,11267
Colorado,Routt,25638
Colorado,Saguache,6824
Colorado,San Juan,728
Colorado,San Miguel,8179
Colorado,Summit,31011
Colorado,Teller,25388
Colorado,Washington,4908
Colorado,Weld,324492
Colorado,Yuma,10019
Connecticut,Fairfield,943332
Connecticut,Hartford,891720
Connecticut,Litchfield,180333
Connecticut,Middlesex,162436
Connecticut,New Haven,854757
Connecticut,New London,265206
Connecticut,Tolland,150721
Connecticut,Windham,116782
Delaware,Kent,180786
Delaware,New Castle,558753
Delaware,Sussex,234225
District of Columbia,District of Columbia,705749
Florida,Alachua,269043
Florida,Baker,29210
Florida,Bay,174705
Florida,Bradford,28201
Florida,Brevard,601942
Florida,Broward,1952778
Florida,Calhoun,14105
Florida,Charlotte,188910
Florida,Citrus,149657
Florida,Clay,219252
Florida,Collier,384902
Florida,Columbia,71686
Florida,DeSoto,38001
Florida,Dixie,16826
Florida,Duval,957755
Florida,Escambia,318316
Florida,Flagler,115081
Florida,Franklin,12125
Florida,Gadsden,45660
Florida,Gilchrist,18582
Florida,Glades,13811
Florida,Gulf,13639
Florida,Hamilton,14428
Florida,Hardee,26937
Florida,Hendry,42022
Florida,Hernando,193920
Florida,Highlands,106221
Florida,Hillsborough,1471968
Florida,Holmes,19617
Florida,Indian River,159923
Florida,Jackson,46414
Florida,Jefferson,14246
Florida,Lafayette,8422
Florida,Lake,367118
Florida,Lee,770577
Florida,Leon,293582
Florida,Levy,41503
Florida,Liberty,8354
Florida,Madison,18493
Florida,Manatee,403253
Florida,Marion,365579
Florida,Martin,161000
Florida,Miami_Dade,NaN
Florida,Monroe,74228
Florida,Nassau,88625
Florida,Okaloosa,210738
Florida,Okeechobee,42168
Florida,Orange,1393452
Florida,Osceola,375751
Florida,Palm Beach,1496770
Florida,Pasco,553947
Florida,Pinellas,974996
Florida,Polk,724777
Florida,Putnam,74521
Florida,St. Johns,264672
Florida,St. Lucie,328297
Florida,Santa Rosa,184313
Florida,Sarasota,433742
Florida,Seminole,471826
Florida,Sumter,132420
Florida,Suwannee,44417
Florida,Taylor,21569
Florida,Union,15237
Florida,Volusia,553284
Florida,Wakulla,33739
Florida,Walton,74071
Florida,Washington,25473
Georgia,Appling,18386
Georgia,Atkinson,8165
Georgia,Bacon,11164
Georgia,Baker,3038
Georgia,Baldwin,44890
Georgia,Banks,19234
Georgia,Barrow,83240
Georgia,Bartow,107738
Georgia,Ben Hill,16700
Georgia,Berrien,19397
Georgia,Bibb,153159
Georgia,Bleckley,12873
Georgia,Brantley,19109
Georgia,Brooks,15457
Georgia,Bryan,39627
Georgia,Bulloch,79608
Georgia,Burke,22383
Georgia,Butts,24936
Georgia,Calhoun,6189
Georgia,Camden,54666
Georgia,Candler,10803
Georgia,Carroll,119992
Georgia,Catoosa,67580
Georgia,Charlton,13392
Georgia,Chatham,289430
Georgia,Chattahoochee,10907
Georgia,Chattooga,24789
Georgia,Cherokee,258773
Georgia,Clarke,128331
Georgia,Clay,2834
Georgia,Clayton,292256
Georgia,Clinch,6618
Georgia,Cobb,760141
Georgia,Coffee,43273
Georgia,Colquitt,45600
Georgia,Columbia,156714
Georgia,Cook,17270
Georgia,Coweta,148509
Georgia,Crawford,12404
Georgia,Crisp,22372
Georgia,Dade,16116
Georgia,Dawson,26108
Georgia,Decatur,26404
Georgia,DeKalb,759297
Georgia,Dodge,20605
Georgia,Dooly,13390
Georgia,Dougherty,87956
Georgia,Douglas,146343
Georgia,Early,10190
Georgia,Echols,4006
Georgia,Effingham,64296
Georgia,Elbert,19194
Georgia,Emanuel,22646
Georgia,Evans,10654
Georgia,Fannin,26188
Georgia,Fayette,114421
Georgia,Floyd,98498
Georgia,Forsyth,244252
Georgia,Franklin,23349
Georgia,Fulton,1063937
Georgia,Gilmer,31369
Georgia,Glynn,85292
Georgia,Gordon,57963
Georgia,Grady,24633
Georgia,Greene,18324
Georgia,Gwinnett,936250
Georgia,Habersham,45328
Georgia,Hall,204441
Georgia,Hancock,8457
Georgia,Haralson,29792
Georgia,Harris,35236
Georgia,Hart,26205
Georgia,Heard,11923
Georgia,Henry,234561
Georgia,Houston,157863
Georgia,Irwin,9416
Georgia,Jackson,72977
Georgia,Jasper,14219
Georgia,Jeff Davis,15115
Georgia,Jefferson,15362
Georgia,Jenkins,8676
Georgia,Johnson,9643
Georgia,Jones,28735
Georgia,Lamar,19077
Georgia,Lanier,10423
Georgia,Laurens,47546
Georgia,Lee,29992
Georgia,Liberty,61435
Georgia,Lincoln,7921
Georgia,Long,19559
Georgia,Lowndes,117406
Georgia,Lumpkin,33610
Georgia,McDuffie,21312
Georgia,McIntosh,14378
Georgia,Macon,12947
Georgia,Madison,29880
Georgia,Marion,8359
Georgia,Meriwether,21167
Georgia,Miller,5718
Georgia,Mitchell,21863
Georgia,Monroe,27578
Georgia,Montgomery,9172
Georgia,Morgan,19276
Georgia,Murray,40096
Georgia,Muscogee,195769
Georgia,Newton,111744
Georgia,Oconee,40280
Georgia,Oglethorpe,15259
Georgia,Paulding,168667
Georgia,Peach,27546
Georgia,Pickens,32591
Georgia,Pierce,19465
Georgia,Pike,18962
Georgia,Polk,42613
Georgia,Pulaski,11137
Georgia,Putnam,22119
Georgia,Quitman,2299
Georgia,Rabun,17137
Georgia,Randolph,6778
Georgia,Richmond,202518
Georgia,Rockdale,90896
Georgia,Schley,5257
Georgia,Screven,13966
Georgia,Seminole,8090
Georgia,Spalding,66703
Georgia,Stephens,25925
Georgia,Stewart,6621
Georgia,Sumter,29524
Georgia,Talbot,6195
Georgia,Tattnall,25286
Georgia,Taylor,8020
Georgia,Telfair,15860
Georgia,Terrell,8531
Georgia,Thomas,44451
Georgia,Tift,40644
Georgia,Toombs,26830
Georgia,Towns,12037
Georgia,Treutlen,6901
Georgia,Troup,69922
Georgia,Turner,7985
Georgia,Twiggs,8120
Georgia,Union,24511
Georgia,Upson,26320
Georgia,Walker,69761
Georgia,Walton,94593
Georgia,Ware,35734
Georgia,Warren,5254
Georgia,Washington,20374
Georgia,Wayne,29927
Georgia,Webster,2607
Georgia,Wheeler,7855
Georgia,White,30798
Georgia,Whitfield,104628
Georgia,Wilcox,8635
Georgia,Wilkes,9777
Georgia,Wilkinson,8954
Georgia,Worth,20247
Hawaii,Hawaii,201513
Hawaii,Honolulu,974563
Hawaii,Kauai,72293
Hawaii,Maui,167417
Idaho,Ada,481587
Idaho,Adams,4294
Idaho,Bannock,87808
Idaho,Bingham,46811
Idaho,Blaine,23021
Idaho,Bonner,45739
Idaho,Bonneville,119062
Idaho,Boundary,12245
Idaho,Camas,1106
Idaho,Canyon,229849
Idaho,Caribou,7155
Idaho,Cassia,24030
Idaho,Custer,4315
Idaho,Elmore,27511
Idaho,Fremont,13099
Idaho,Gem,18112
Idaho,Gooding,15179
Idaho,Idaho,16667
Idaho,Jefferson,29871
Idaho,Jerome,24412
Idaho,Kootenai,165697
Idaho,Latah,40108
Idaho,Lemhi,8027
Idaho,Lewis,3838
Idaho,Lincoln,5366
Idaho,Madison,39907
Idaho,Minidoka,21039
Idaho,Nez Perce,40408
Idaho,Owyhee,11823
Idaho,Payette,23951
Idaho,Power,7681
Idaho,Teton,12142
Idaho,Twin Falls,86878
Idaho,Valley,11392
Idaho,Washington,10194
Illinois,Adams,65435
Illinois,Alexander,5761
Illinois,Bond,16426
Illinois,Boone,53544
Illinois,Bureau,32628
Illinois,Calhoun,4739
Illinois,Carroll,14305
Illinois,Cass,12147
Illinois,Champaign,209689
Illinois,Christian,32304
Illinois,Clark,15441
Illinois,Clay,13184
Illinois,Clinton,37562
Illinois,Coles,50621
Illinois,Cook,5150233
Illinois,Crawford,18667
Illinois,Cumberland,10766
Illinois,DeKalb,104897
Illinois,De Witt,15638
Illinois,Douglas,19465
Illinois,DuPage,922921
Illinois,Effingham,34008
Illinois,Fayette,21336
Illinois,Ford,12961
Illinois,Franklin,38469
Illinois,Fulton,34340
Illinois,Gallatin,4828
Illinois,Greene,12969
Illinois,Grundy,51054
Illinois,Hamilton,8116
Illinois,Hancock,17708
Illinois,Hardin,3821
Illinois,Henderson,6646
Illinois,Henry,48913
Illinois,Iroquois,27114
Illinois,Jackson,56750
Illinois,Jasper,9610
Illinois,Jefferson,37684
Illinois,Jersey,21773
Illinois,Jo Daviess,21235
Illinois,Johnson,12417
Illinois,Kane,532403
Illinois,Kankakee,109862
Illinois,Kendall,128990
Illinois,Knox,49699
Illinois,Lake,696535
Illinois,LaSalle,108669
Illinois,Lawrence,15678
Illinois,Lee,34096
Illinois,Livingston,35648
Illinois,Logan,28618
Illinois,McDonough,29682
Illinois,McHenry,307774
Illinois,McLean,171517
Illinois,Macon,104009
Illinois,Macoupin,44926
Illinois,Madison,262966
Illinois,Marion,37205
Illinois,Marshall,11438
Illinois,Mason,13359
Illinois,Massac,13772
Illinois,Menard,12196
Illinois,Mercer,15437
Illinois,Monroe,34637
Illinois,Montgomery,28414
Illinois,Morgan,33658
Illinois,Moultrie,14501
Illinois,Ogle,50643
Illinois,Peoria,179179
Illinois,Perry,20916
Illinois,Piatt,16344
Illinois,Pike,15561
Illinois,Pulaski,5335
Illinois,Randolph,31782
Illinois,Richland,15513
Illinois,Rock Island,141879
Illinois,St. Clair,259686
Illinois,Saline,23491
Illinois,Sangamon,194672
Illinois,Schuyler,6768
Illinois,Shelby,21634
Illinois,Stark,5342
Illinois,Stephenson,44498
Illinois,Tazewell,131803
Illinois,Union,16653
Illinois,Vermilion,75758
Illinois,Wabash,11520
Illinois,Warren,16844
Illinois,Washington,13887
Illinois,Wayne,16215
Illinois,White,13537
Illinois,Whiteside,55175
Illinois,Will,690743
Illinois,Williamson,66597
Illinois,Winnebago,282572
Illinois,Woodford,38459
Indiana,Adams,35777
Indiana,Allen,379299
Indiana,Bartholomew,83779
Indiana,Benton,8748
Indiana,Blackford,11758
Indiana,Boone,67843
Indiana,Brown,15092
Indiana,Carroll,20257
Indiana,Cass,37689
Indiana,Clark,118302
Indiana,Clay,26225
Indiana,Clinton,32399
Indiana,Crawford,10577
Indiana,Daviess,33351
Indiana,Dearborn,49458
Indiana,Decatur,26559
Indiana,DeKalb,43475
Indiana,Delaware,114135
Indiana,Dubois,42736
Indiana,Elkhart,206341
Indiana,Fayette,23102
Indiana,Floyd,78522
Indiana,Fountain,16346
Indiana,Franklin,22758
Indiana,Fulton,19974
Indiana,Gibson,33659
Indiana,Grant,65769
Indiana,Greene,31922
Indiana,Hamilton,338011
Indiana,Hancock,78168
Indiana,Harrison,40515
Indiana,Hendricks,170311
Indiana,Henry,47972
Indiana,Howard,82544
Indiana,Huntington,36520
Indiana,Jackson,44231
Indiana,Jasper,33562
Indiana,Jay,20436
Indiana,Jefferson,32308
Indiana,Jennings,27735
Indiana,Johnson,158167
Indiana,Knox,36594
Indiana,Kosciusko,79456
Indiana,LaGrange,39614
Indiana,Lake,485493
Indiana,LaPorte,109888
Indiana,Lawrence,45370
Indiana,Madison,129569
Indiana,Marion,964582
Indiana,Marshall,46258
Indiana,Martin,10255
Indiana,Miami,35516
Indiana,Monroe,148431
Indiana,Montgomery,38338
Indiana,Morgan,70489
Indiana,Newton,13984
Indiana,Noble,47744
Indiana,Ohio,5875
Indiana,Orange,19646
Indiana,Owen,20799
Indiana,Parke,16937
Indiana,Perry,19169
Indiana,Pike,12389
Indiana,Porter,170389
Indiana,Posey,25427
Indiana,Pulaski,12353
Indiana,Putnam,37576
Indiana,Randolph,24665
Indiana,Ripley,28324
Indiana,Rush,16581
Indiana,St. Joseph,271826
Indiana,Scott,23873
Indiana,Shelby,44729
Indiana,Spencer,20277
Indiana,Starke,22995
Indiana,Steuben,34594
Indiana,Sullivan,20669
Indiana,Switzerland,10751
Indiana,Tippecanoe,195732
Indiana,Tipton,15148
Indiana,Union,7054
Indiana,Vanderburgh,181451
Indiana,Vermillion,15498
Indiana,Vigo,107038
Indiana,Wabash,30996
Indiana,Warren,8265
Indiana,Warrick,62998
Indiana,Washington,28036
Indiana,Wayne,65884
Indiana,Wells,28296
Indiana,White,24102
Indiana,Whitley,33964
Iowa,Adair,7152
Iowa,Allamakee,13687
Iowa,Appanoose,12426
Iowa,Audubon,5496
Iowa,Benton,25645
Iowa,Black Hawk,131228
Iowa,Boone,26234
Iowa,Bremer,25062
Iowa,Buchanan,21175
Iowa,Buena Vista,19620
Iowa,Butler,14439
Iowa,Carroll,20165
Iowa,Cass,12836
Iowa,Cedar,18627
Iowa,Cerro Gordo,42450
Iowa,Cherokee,11235
Iowa,Chickasaw,11933
Iowa,Clarke,9395
Iowa,Clay,16016
Iowa,Clayton,17549
Iowa,Clinton,46429
Iowa,Crawford,16820
Iowa,Dallas,93453
Iowa,Davis,9000
Iowa,Delaware,17011
Iowa,Des Moines,38967
Iowa,Dickinson,17258
Iowa,Dubuque,97311
Iowa,Emmet,9208
Iowa,Fayette,19650
Iowa,Franklin,10070
Iowa,Greene,8888
Iowa,Grundy,12232
Iowa,Guthrie,10689
Iowa,Hamilton,14773
Iowa,Hancock,10630
Iowa,Hardin,16846
Iowa,Harrison,14049
Iowa,Henry,19954
Iowa,Howard,9158
Iowa,Humboldt,9558
Iowa,Iowa,16184
Iowa,Jackson,19439
Iowa,Jasper,37185
Iowa,Jefferson,18295
Iowa,Johnson,151140
Iowa,Jones,20681
Iowa,Keokuk,10246
Iowa,Kossuth,14813
Iowa,Lee,33657
Iowa,Linn,226706
Iowa,Louisa,11035
Iowa,Lyon,11755
Iowa,Madison,16338
Iowa,Mahaska,22095
Iowa,Marion,33253
Iowa,Marshall,39369
Iowa,Mills,15109
Iowa,Mitchell,10586
Iowa,Monona,8615
Iowa,Montgomery,9917
Iowa,Muscatine,42664
Iowa,O'Brien,13753
Iowa,Osceola,5958
Iowa,Page,15107
Iowa,Plymouth,25177
Iowa,Pocahontas,6619
Iowa,Polk,490161
Iowa,Pottawattamie,93206
Iowa,Poweshiek,18504
Iowa,Scott,172943
Iowa,Shelby,11454
Iowa,Sioux,34855
Iowa,Story,97117
Iowa,Tama,16854
Iowa,Taylor,6121
Iowa,Union,12241
Iowa,Van Buren,7044
Iowa,Wapello,34969
Iowa,Warren,51466
Iowa,Washington,21965
Iowa,Webster,35904
Iowa,Winnebago,10354
Iowa,Winneshiek,19991
Iowa,Woodbury,103107
Iowa,Worth,7381
Iowa,Wright,12562
Kansas,Anderson,7858
Kansas,Atchison,16073
Kansas,Barber,4427
Kansas,Barton,25779
Kansas,Bourbon,14534
Kansas,Butler,66911
Kansas,Chase,2648
Kansas,Chautauqua,3250
Kansas,Cherokee,19939
Kansas,Cheyenne,2657
Kansas,Clark,1994
Kansas,Clay,8002
Kansas,Cloud,8786
Kansas,Coffey,8179
Kansas,Cowley,34908
Kansas,Crawford,38818
Kansas,Dickinson,18466
Kansas,Doniphan,7600
Kansas,Douglas,122259
Kansas,Edwards,2798
Kansas,Elk,2530
Kansas,Ellis,28553
Kansas,Finney,36467
Kansas,Ford,33619
Kansas,Franklin,25544
Kansas,Geary,31670
Kansas,Gove,2636
Kansas,Grant,7150
Kansas,Gray,5988
Kansas,Greenwood,5982
Kansas,Hamilton,2539
Kansas,Harvey,34429
Kansas,Haskell,3968
Kansas,Jackson,13171
Kansas,Jefferson,19043
Kansas,Jewell,2879
Kansas,Johnson,602401
Kansas,Kearny,3838
Kansas,Kiowa,2475
Kansas,Labette,19618
Kansas,Leavenworth,81758
Kansas,Linn,9703
Kansas,Lyon,33195
Kansas,McPherson,28542
Kansas,Marion,11884
Kansas,Meade,4033
Kansas,Miami,34237
Kansas,Mitchell,5979
Kansas,Montgomery,31829
Kansas,Morris,5620
Kansas,Morton,2587
Kansas,Nemaha,10231
Kansas,Neosho,16007
Kansas,Osage,15949
Kansas,Osborne,3421
Kansas,Ottawa,5704
Kansas,Phillips,5234
Kansas,Pottawatomie,24383
Kansas,Pratt,9164
Kansas,Reno,61998
Kansas,Republic,4636
Kansas,Rice,9537
Kansas,Riley,74232
Kansas,Rooks,4920
Kansas,Saline,54224
Kansas,Scott,4823
Kansas,Sedgwick,516042
Kansas,Seward,21428
Kansas,Shawnee,176875
Kansas,Sheridan,2521
Kansas,Sherman,5917
Kansas,Smith,3583
Kansas,Stafford,4156
Kansas,Stanton,2006
Kansas,Stevens,5485
Kansas,Sumner,22836
Kansas,Wabaunsee,6931
Kansas,Wilson,8525
Kansas,Woodson,3138
Kansas,Wyandotte,165429
Kentucky,Adair,19202
Kentucky,Allen,21315
Kentucky,Anderson,22747
Kentucky,Ballard,7888
Kentucky,Barren,44249
Kentucky,Bath,12500
Kentucky,Boone,133581
Kentucky,Bourbon,19788
Kentucky,Boyd,46718
Kentucky,Boyle,30060
Kentucky,Bracken,8303
Kentucky,Breathitt,12630
Kentucky,Breckinridge,20477
Kentucky,Bullitt,81676
Kentucky,Butler,12879
Kentucky,Caldwell,12747
Kentucky,Calloway,39001
Kentucky,Campbell,93584
Kentucky,Carlisle,4760
Kentucky,Carroll,10631
Kentucky,Carter,26797
Kentucky,Casey,16159
Kentucky,Christian,70461
Kentucky,Clark,36263
Kentucky,Clay,19901
Kentucky,Clinton,10218
Kentucky,Crittenden,8806
Kentucky,Cumberland,6614
Kentucky,Daviess,101511
Kentucky,Edmonson,12150
Kentucky,Estill,14106
Kentucky,Fayette,323152
Kentucky,Fleming,14581
Kentucky,Floyd,35589
Kentucky,Franklin,50991
Kentucky,Fulton,5969
Kentucky,Gallatin,8869
Kentucky,Garrard,17666
Kentucky,Grant,25069
Kentucky,Graves,37266
Kentucky,Grayson,26427
Kentucky,Green,10941
Kentucky,Greenup,35098
Kentucky,Hancock,8722
Kentucky,Hardin,110958
Kentucky,Harrison,18886
Kentucky,Hart,19035
Kentucky,Henderson,45210
Kentucky,Henry,16126
Kentucky,Hickman,4380
Kentucky,Hopkins,44686
Kentucky,Jackson,13329
Kentucky,Jefferson,766757
Kentucky,Jessamine,54115
Kentucky,Johnson,22188
Kentucky,Kenton,166998
Kentucky,Knott,14806
Kentucky,Knox,31145
Kentucky,Larue,14398
Kentucky,Laurel,60813
Kentucky,Lawrence,15317
Kentucky,Leslie,9877
Kentucky,Letcher,21553
Kentucky,Lewis,13275
Kentucky,Lincoln,24549
Kentucky,Livingston,9194
Kentucky,Logan,27102
Kentucky,Lyon,8210
Kentucky,McCracken,65418
Kentucky,McCreary,17231
Kentucky,McLean,9207
Kentucky,Madison,92987
Kentucky,Marion,19273
Kentucky,Marshall,31100
Kentucky,Martin,11195
Kentucky,Mason,17070
Kentucky,Meade,28572
Kentucky,Menifee,6489
Kentucky,Mercer,21933
Kentucky,Metcalfe,10071
Kentucky,Monroe,10650
Kentucky,Montgomery,28157
Kentucky,Morgan,13309
Kentucky,Muhlenberg,30622
Kentucky,Nelson,46233
Kentucky,Nicholas,7269
Kentucky,Ohio,23994
Kentucky,Oldham,66799
Kentucky,Owen,10901
Kentucky,Owsley,4415
Kentucky,Pendleton,14590
Kentucky,Perry,25758
Kentucky,Pike,57876
Kentucky,Powell,12359
Kentucky,Pulaski,64979
Kentucky,Rockcastle,16695
Kentucky,Rowan,24460
Kentucky,Russell,17923
Kentucky,Scott,57004
Kentucky,Shelby,49024
Kentucky,Simpson,18572
Kentucky,Spencer,19351
Kentucky,Taylor,25769
Kentucky,Todd,12294
Kentucky,Trigg,14651
Kentucky,Trimble,8471
Kentucky,Union,14381
Kentucky,Warren,132896
Kentucky,Washington,12095
Kentucky,Wayne,20333
Kentucky,Webster,12942
Kentucky,Whitley,36264
Kentucky,Woodford,26734
Louisiana,Acadia,62045
Louisiana,Allen,25627
Louisiana,Ascension,126604
Louisiana,Assumption,21891
Louisiana,Avoyelles,40144
Louisiana,Beauregard,37497
Louisiana,Bienville,13241
Louisiana,Bossier,127039
Louisiana,Caddo,240204
Louisiana,Calcasieu,203436
Louisiana,Caldwell,9918
Louisiana,Cameron,6973
Louisiana,Catahoula,9494
Louisiana,Claiborne,15670
Louisiana,Concordia,19259
Louisiana,De Soto,27463
Louisiana,East Baton Rouge,440059
Louisiana,East Carroll,6861
Louisiana,East Feliciana,19135
Louisiana,Evangeline,33395
Louisiana,Franklin,20015
Louisiana,Grant,22389
Louisiana,Iberia,69830
Louisiana,Iberville,32511
Louisiana,Jackson,15744
Louisiana,Jefferson,432493
Louisiana,Jefferson Davis,31368
Louisiana,Lafayette,244390
Louisiana,Lafourche,97614
Louisiana,LaSalle,14892
Louisiana,Lincoln,46742
Louisiana,Livingston,140789
Louisiana,Madison,10951
Louisiana,Morehouse,24874
Louisiana,Natchitoches,38158
Louisiana,Orleans,390144
Louisiana,Ouachita,153279
Louisiana,Plaquemines,23197
Louisiana,Pointe Coupee,21730
Louisiana,Rapides,129648
